numid,vlanid,name,ipnet,mask,gateway,ip,cidr,size,ipnum
34,342,INFRA,10.50.65.0/24,255.255.255.0,10.50.65.1,10.50.65.0,24,256,171065600
34,5000,DMZ,172.18.148.0/23,255.255.254.0,172.18.149.254,172.18.148.0,23,512,2886898688
34,4000,DMZ_PUB,172.18.150.0/25,255.255.255.128,172.18.150.126,172.18.150.0,25,128,2886899200
34,2200,TOIP,172.18.150.128/26,255.255.255.192,172.18.150.190,172.18.150.128,26,64,2886899328
34,5300,IMPRESSION,172.18.150.192/26,255.255.255.192,172.18.150.254,172.18.150.192,26,64,2886899392
34,1500,PROD,172.18.151.0/25,255.255.255.128,172.18.151.126,172.18.151.0,25,128,2886899456
34,900,TEST,172.18.151.128/25,255.255.255.128,172.18.151.254,172.18.151.128,25,128,2886899584
35,352,INFRA,10.50.61.0/24,255.255.255.0,10.50.61.1,10.50.61.0,24,256,171064576
35,5000,DMZ,172.18.152.0/23,255.255.254.0,172.18.153.254,172.18.152.0,23,512,2886899712
35,4000,DMZ_PUB,172.18.154.0/25,255.255.255.128,172.18.154.126,172.18.154.0,25,128,2886900224
35,2200,TOIP,172.18.154.128/26,255.255.255.192,172.18.154.190,172.18.154.128,26,64,2886900352
35,5300,IMPRESSION,172.18.154.192/26,255.255.255.192,172.18.154.254,172.18.154.192,26,64,2886900416
35,1500,PROD,172.18.155.0/25,255.255.255.128,172.18.155.126,172.18.155.0,25,128,2886900480
35,900,TEST,172.18.155.128/25,255.255.255.128,172.18.155.254,172.18.155.128,25,128,2886900608
36,362,INFRA,10.50.72.0/24,255.255.255.0,10.50.72.1,10.50.72.0,24,256,171067392
36,5000,DMZ,172.18.156.0/23,255.255.254.0,172.18.157.254,172.18.156.0,23,512,2886900736
36,4000,DMZ_PUB,172.18.158.0/25,255.255.255.128,172.18.158.126,172.18.158.0,25,128,2886901248
36,2200,TOIP,172.18.158.128/26,255.255.255.192,172.18.158.190,172.18.158.128,26,64,2886901376
36,5300,IMPRESSION,172.18.158.192/26,255.255.255.192,172.18.158.254,172.18.158.192,26,64,2886901440
36,1500,PROD,172.18.159.0/25,255.255.255.128,172.18.159.126,172.18.159.0,25,128,2886901504
36,900,TEST,172.18.159.128/25,255.255.255.128,172.18.159.254,172.18.159.128,25,128,2886901632
37,372,INFRA,10.50.28.0/24,255.255.255.0,10.50.28.1,10.50.28.0,24,256,171056128
37,5000,DMZ,172.18.160.0/23,255.255.254.0,172.18.161.254,172.18.160.0,23,512,2886901760
37,4000,DMZ_PUB,172.18.162.0/25,255.255.255.128,172.18.162.126,172.18.162.0,25,128,2886902272
37,2200,TOIP,172.18.162.128/26,255.255.255.192,172.18.162.190,172.18.162.128,26,64,2886902400
37,5300,IMPRESSION,172.18.162.192/26,255.255.255.192,172.18.162.254,172.18.162.192,26,64,2886902464
37,1500,PROD,172.18.163.0/25,255.255.255.128,172.18.163.126,172.18.163.0,25,128,2886902528
